Function Name,n,# of primes,Time
Sieve,0,0,3.60012054443e-05
Sieve,1000,233,0.00019097328186
Sieve,2000,449,0.000462055206299
Sieve,3000,656,0.000835180282593
Sieve,4000,864,0.00104904174805
Sieve,5000,1071,0.00130796432495
Sieve,6000,1275,0.00127196311951
Sieve,7000,1476,0.00173020362854
Sieve,8000,1677,0.00176286697388
Sieve,9000,1881,0.00154685974121
Sieve,10000,2080,0.00205302238464
Sieve,11000,2279,0.00184082984924
Sieve,12000,2475,0.00261497497559
Sieve,13000,2672,0.00395894050598
Sieve,14000,2873,0.00306797027588
Sieve,15000,3068,0.00302600860596
Sieve,16000,3265,0.00345706939697
Sieve,17000,3462,0.00320386886597
Sieve,18000,3651,0.00299286842346
Sieve,19000,3847,0.0028920173645
Sieve,20000,4044,0.00309109687805
Sieve,21000,4236,0.00333499908447
Sieve,22000,4429,0.00393199920654
Sieve,23000,4622,0.0039050579071
Sieve,24000,4814,0.0045120716095
Sieve,25000,5007,0.00439500808716
Sieve,26000,5199,0.00417995452881
Sieve,27000,5387,0.00424003601074
Sieve,28000,5577,0.00447583198547
Sieve,29000,5766,0.00508904457092
Sieve,30000,5958,0.00484418869019
Sieve,31000,6152,0.00519990921021
Sieve,32000,6338,0.00546503067017
Sieve,33000,6530,0.00540399551392
Sieve,34000,6716,0.0058479309082
Sieve,35000,6912,0.0058810710907
Sieve,36000,7098,0.00612902641296
Sieve,37000,7288,0.0060088634491
Sieve,38000,7478,0.00949311256409
Sieve,39000,7657,0.00995898246765
Sieve,40000,7849,0.00727391242981
Sieve,41000,8036,0.00695586204529
Sieve,42000,8221,0.00733804702759
Sieve,43000,8412,0.00724792480469
Sieve,44000,8597,0.00775218009949
Sieve,45000,8784,0.00738096237183
Sieve,46000,8969,0.00790596008301
Sieve,47000,9157,0.00801396369934
Sieve,48000,9344,0.00810313224792
Sieve,49000,9530,0.00904703140259
Sieve,50000,9717,0.00869512557983
Sieve,51000,9906,0.00856304168701
Sieve,52000,10089,0.00891399383545
Sieve,53000,10275,0.00913596153259
Sieve,54000,10467,0.00943803787231
Sieve,55000,10650,0.00917291641235
Sieve,56000,10840,0.00990986824036
Sieve,57000,11027,0.00987195968628
Sieve,58000,11208,0.0105080604553
Sieve,59000,11396,0.0112700462341
Sieve,60000,11581,0.0117700099945
Sieve,61000,11761,0.0108230113983
Sieve,62000,11948,0.010684967041
Sieve,63000,12133,0.0107619762421
Sieve,64000,12323,0.0112941265106
Sieve,65000,12505,0.0110502243042
Sieve,66000,12691,0.0145928859711
Sieve,67000,12871,0.0126571655273
Sieve,68000,13064,0.0119218826294
Sieve,69000,13240,0.0125670433044
Sieve,70000,13424,0.0122320652008
Sieve,71000,13617,0.0124139785767
Sieve,72000,13800,0.0136160850525
Sieve,73000,13981,0.0128829479218
Sieve,74000,14167,0.0131919384003
Sieve,75000,14355,0.0143251419067
Sieve,76000,14534,0.0131659507751
Sieve,77000,14718,0.0136208534241
Sieve,78000,14901,0.01349401474
Sieve,79000,15084,0.0137979984283
Sieve,80000,15273,0.0147287845612
Sieve,81000,15455,0.0165112018585
Sieve,82000,15637,0.0197961330414
Sieve,83000,15823,0.0171530246735
Sieve,84000,16007,0.0151479244232
Sieve,85000,16185,0.0161108970642
Sieve,86000,16376,0.0153121948242
Sieve,87000,16557,0.015753030777
Sieve,88000,16742,0.0159420967102
Sieve,89000,16927,0.0159170627594
Sieve,90000,17108,0.0162539482117
Sieve,91000,17295,0.0164759159088
Sieve,92000,17475,0.0163929462433
Sieve,93000,17660,0.0174388885498
Sieve,94000,17840,0.0182650089264
Sieve,95000,18019,0.0175240039825
Sieve,96000,18205,0.0174338817596
Sieve,97000,18390,0.0168352127075
Sieve,98000,18571,0.0202918052673
Sieve,99000,18751,0.0207419395447
