Function Name,n,# of primes,Time
Sieve,0,0,4.60147857666e-05
Sieve,100,28,8.39233398438e-05
Sieve,200,53,4.00543212891e-05
Sieve,300,76,5.60283660889e-05
Sieve,400,98,6.98566436768e-05
Sieve,500,122,0.000158071517944
Sieve,600,144,0.000121116638184
Sieve,700,166,0.000169038772583
Sieve,800,190,0.000219821929932
Sieve,900,210,0.000217914581299
Sieve,1000,233,0.000227928161621
Sieve,1100,256,0.000241994857788
Sieve,1200,276,0.000326156616211
Sieve,1300,298,0.00029993057251
Sieve,1400,321,0.000418901443481
Sieve,1500,343,0.000341892242432
Sieve,1600,363,0.000293016433716
Sieve,1700,387,0.000442028045654
Sieve,1800,405,0.000454902648926
Sieve,1900,427,0.000535011291504
Sieve,2000,449,0.000620126724243
Sieve,2100,471,0.000479936599731
Sieve,2200,490,0.000641822814941
Sieve,2300,512,0.000438928604126
Sieve,2400,533,0.000455856323242
Sieve,2500,553,0.000498056411743
Sieve,2600,575,0.000517845153809
Sieve,2700,597,0.000517129898071
Sieve,2800,616,0.000583171844482
Sieve,2900,637,0.000574111938477
Sieve,3000,656,0.000725984573364
Sieve,3100,678,0.000475168228149
Sieve,3200,700,0.000611066818237
Sieve,3300,720,0.000521183013916
Sieve,3400,741,0.000547170639038
Sieve,3500,762,0.00070595741272
Sieve,3600,784,0.000576972961426
Sieve,3700,805,0.000620126724243
Sieve,3800,825,0.000694990158081
Sieve,3900,845,0.000789880752563
Sieve,4000,864,0.000725984573364
Sieve,4100,887,0.000707149505615
Sieve,4200,906,0.000756025314331
Sieve,4300,927,0.000863075256348
Sieve,4400,948,0.00104188919067
Sieve,4500,967,0.00107097625732
Sieve,4600,989,0.00123405456543
Sieve,4700,1010,0.00126004219055
Sieve,4800,1030,0.00140690803528
Sieve,4900,1048,0.00133991241455
Sieve,5000,1071,0.0018949508667
Sieve,5100,1090,0.00197982788086
Sieve,5200,1110,0.00165915489197
Sieve,5300,1130,0.00157999992371
Sieve,5400,1150,0.00170207023621
Sieve,5500,1170,0.00138282775879
Sieve,5600,1193,0.00131392478943
Sieve,5700,1213,0.00114703178406
Sieve,5800,1232,0.000941038131714
Sieve,5900,1254,0.000892877578735
Sieve,6000,1275,0.000944137573242
Sieve,6100,1296,0.00106000900269
Sieve,6200,1315,0.00101685523987
Sieve,6300,1336,0.0014979839325
Sieve,6400,1356,0.00111103057861
Sieve,6500,1374,0.000969886779785
Sieve,6600,1395,0.00104784965515
Sieve,6700,1413,0.00108504295349
Sieve,6800,1436,0.00110220909119
Sieve,6900,1456,0.00106883049011
Sieve,7000,1476,0.00108885765076
Sieve,7100,1497,0.00106692314148
Sieve,7200,1516,0.00115704536438
Sieve,7300,1538,0.00119805335999
Sieve,7400,1559,0.00113582611084
Sieve,7500,1577,0.00117206573486
Sieve,7600,1597,0.0010929107666
Sieve,7700,1620,0.00122499465942
Sieve,7800,1639,0.00166392326355
Sieve,7900,1657,0.00136613845825
Sieve,8000,1677,0.00164794921875
Sieve,8100,1696,0.00198006629944
Sieve,8200,1714,0.00198912620544
Sieve,8300,1737,0.00198793411255
Sieve,8400,1757,0.00177001953125
Sieve,8500,1777,0.00155305862427
Sieve,8600,1800,0.00140714645386
Sieve,8700,1820,0.00154399871826
Sieve,8800,1840,0.00142908096313
Sieve,8900,1863,0.00136494636536
Sieve,9000,1881,0.00144410133362
Sieve,9100,1899,0.00159788131714
Sieve,9200,1921,0.00163316726685
Sieve,9300,1942,0.00206184387207
Sieve,9400,1960,0.00208592414856
Sieve,9500,1981,0.00225901603699
Sieve,9600,1999,0.0021390914917
Sieve,9700,2021,0.00252413749695
Sieve,9800,2041,0.00189208984375
Sieve,9900,2060,0.00154399871826
