Function Name,n,# of primes,Time
Sieve,0,0,0.00519895553589
Sieve,100000,18935,0.0249288082123
Sieve,200000,37037,0.0423169136047
Sieve,300000,54862,0.0669960975647
Sieve,400000,72539,0.0954098701477
Sieve,500000,90106,0.11746096611
Sieve,600000,107571,0.137420892715
Sieve,700000,124968,0.187715053558
Sieve,800000,142316,0.212261915207
Sieve,900000,159583,0.212946176529
Sieve,1000000,176783,0.23686504364
Sieve,1100000,193953,0.269443035126
Sieve,1200000,211082,0.28498506546
Sieve,1300000,228165,0.372807979584
Sieve,1400000,245220,0.362833976746
Sieve,1500000,262258,0.384223937988
Sieve,1600000,279257,0.40473484993
Sieve,1700000,296211,0.428344011307
Sieve,1800000,313186,0.489889144897
Sieve,1900000,330122,0.540510177612
Sieve,2000000,347046,0.578855037689
Sieve,2100000,363953,0.635568857193
Sieve,2200000,380863,0.648329019547
Sieve,2300000,397754,0.605835914612
Sieve,2400000,414591,0.647019863129
Sieve,2500000,431428,0.660173892975
Sieve,2600000,448257,0.688695192337
Sieve,2700000,465090,0.719620943069
Sieve,2800000,481890,0.864900112152
Sieve,2900000,498666,0.77367401123
Sieve,3000000,515447,0.793681144714
Sieve,3100000,532206,0.833155155182
Sieve,3200000,548976,0.874843835831
Sieve,3300000,565731,0.905943870544
Sieve,3400000,582448,0.927562952042
Sieve,3500000,599183,0.93793296814
Sieve,3600000,615870,1.03873801231
Sieve,3700000,632570,1.2802529335
Sieve,3800000,649239,1.07904696465
Sieve,3900000,665898,1.16936016083
Sieve,4000000,682549,1.10399794579
Sieve,4100000,699193,1.12041521072
Sieve,4200000,715846,1.17178082466
Sieve,4300000,732459,1.20511603355
Sieve,4400000,749049,1.24214911461
Sieve,4500000,765628,1.25525093079
Sieve,4600000,782219,1.28475213051
Sieve,4700000,798811,1.33707380295
Sieve,4800000,815367,1.42219400406
Sieve,4900000,831952,1.49342489243
Sieve,5000000,848525,1.40713000298
Sieve,5100000,865073,1.79733586311
Sieve,5200000,881574,1.55673003197
Sieve,5300000,898124,1.62333297729
Sieve,5400000,914646,1.63006401062
Sieve,5500000,931155,1.98728179932
Sieve,5600000,947672,1.97575497627
Sieve,5700000,964179,2.27513599396
Sieve,5800000,980659,2.53136491776
Sieve,5900000,997138,2.35179114342
Sieve,6000000,1013635,1.80244207382
Sieve,6100000,1030084,1.79417395592
Sieve,6200000,1046561,1.99201989174
Sieve,6300000,1063012,2.17286586761
Sieve,6400000,1079429,2.3624792099
Sieve,6500000,1095904,2.87899684906
Sieve,6600000,1112324,2.57225489616
Sieve,6700000,1128745,2.42858195305
Sieve,6800000,1145173,2.28858995438
Sieve,6900000,1161588,2.2672829628
Sieve,7000000,1178052,2.16432285309
Sieve,7100000,1194464,2.2535200119
Sieve,7200000,1210855,2.20529103279
Sieve,7300000,1227258,2.18312382698
Sieve,7400000,1243616,2.51254677773
Sieve,7500000,1260041,2.85393095016
Sieve,7600000,1276417,2.82544612885
Sieve,7700000,1292796,2.7498087883
Sieve,7800000,1309189,3.14371609688
Sieve,7900000,1325541,3.51389288902
Sieve,8000000,1341907,2.80716300011
Sieve,8100000,1358246,2.82600188255
