Function Name,n,# of primes,Time
Sieve,0,0,2.7894973754882812e-05
Sieve,10000,2080,0.0027379989624023438
Sieve,20000,4044,0.004896879196166992
Sieve,30000,5958,0.007048845291137695
Sieve,40000,7849,0.008550167083740234
Sieve,50000,9717,0.010210990905761719
Sieve,60000,11581,0.012376070022583008
Sieve,70000,13424,0.01455831527709961
Sieve,80000,15273,0.01707601547241211
Sieve,90000,17108,0.01876211166381836
Sieve,100000,18935,0.02108597755432129
Sieve,110000,20764,0.023689985275268555
Sieve,120000,22583,0.025867938995361328
Sieve,130000,24405,0.027419090270996094
Sieve,140000,26214,0.029837846755981445
Sieve,150000,28028,0.031894683837890625
Sieve,160000,29830,0.03555583953857422
Sieve,170000,31635,0.036521196365356445
Sieve,180000,33448,0.03873896598815918
Sieve,190000,35246,0.04311490058898926
Sieve,200000,37037,0.04524111747741699
Sieve,210000,38826,0.04592609405517578
Sieve,220000,40619,0.04815101623535156
Sieve,230000,42409,0.055719852447509766
Sieve,240000,44192,0.05455279350280762
Sieve,250000,45971,0.0571751594543457
Sieve,260000,47754,0.0603487491607666
Sieve,270000,49534,0.06133317947387695
Sieve,280000,51313,0.0663299560546875
Sieve,290000,53089,0.06755304336547852
Sieve,300000,54862,0.07240796089172363
Sieve,310000,56636,0.07129597663879395
Sieve,320000,58409,0.07413792610168457
Sieve,330000,60180,0.07717609405517578
Sieve,340000,61960,0.07738399505615234
Sieve,350000,63738,0.08131694793701172
Sieve,360000,65478,0.08471894264221191
Sieve,370000,67247,0.08874392509460449
Sieve,380000,69018,0.08957386016845703
Sieve,390000,70779,0.09291791915893555
Sieve,400000,72539,0.09592866897583008
Sieve,410000,74302,0.09742498397827148
Sieve,420000,76064,0.10326290130615234
Sieve,430000,77821,0.10455083847045898
Sieve,440000,79577,0.11825203895568848
Sieve,450000,81332,0.14949584007263184
Sieve,460000,83087,0.17439985275268555
Sieve,470000,84847,0.16879010200500488
Sieve,480000,86599,0.19954586029052734
Sieve,490000,88337,0.12830710411071777
Sieve,500000,90106,0.12242889404296875
Sieve,510000,91850,0.12316393852233887
Sieve,520000,93593,0.12751412391662598
Sieve,530000,95356,0.13539361953735352
Sieve,540000,97084,0.13319182395935059
Sieve,550000,98843,0.13481497764587402
Sieve,560000,100590,0.14432096481323242
Sieve,570000,102327,0.14187383651733398
Sieve,580000,104087,0.14277911186218262
Sieve,590000,105818,0.15421104431152344
Sieve,600000,107571,0.1576380729675293
Sieve,610000,109311,0.15333127975463867
Sieve,620000,111058,0.15648508071899414
Sieve,630000,112797,0.16072392463684082
Sieve,640000,114553,0.16121697425842285
Sieve,650000,116283,0.16391515731811523
Sieve,660000,118027,0.16622710227966309
Sieve,670000,119772,0.1694481372833252
Sieve,680000,121507,0.1805260181427002
Sieve,690000,123248,0.1754469871520996
Sieve,700000,124968,0.17687296867370605
Sieve,710000,126721,0.18146681785583496
Sieve,720000,128450,0.18782806396484375
Sieve,730000,130179,0.1851961612701416
Sieve,740000,131914,0.1899712085723877
Sieve,750000,133650,0.198167085647583
Sieve,760000,135386,0.19296836853027344
Sieve,770000,137120,0.20111799240112305
Sieve,780000,138849,0.20934510231018066
Sieve,790000,140585,0.20784735679626465
Sieve,800000,142316,0.21395516395568848
Sieve,810000,144044,0.21236014366149902
Sieve,820000,145770,0.2206110954284668
Sieve,830000,147500,0.26503920555114746
Sieve,840000,149224,0.2196049690246582
Sieve,850000,150960,0.21999716758728027
Sieve,860000,152684,0.22435617446899414
Sieve,870000,154413,0.23099303245544434
Sieve,880000,156132,0.23014307022094727
Sieve,890000,157862,0.23032903671264648
Sieve,900000,159583,0.2284700870513916
Sieve,910000,161305,0.24419713020324707
Sieve,920000,163016,0.23498916625976562
Sieve,930000,164751,0.24570012092590332
Sieve,940000,166463,0.25675487518310547
Sieve,950000,168182,0.2967538833618164
Sieve,960000,169905,0.250241756439209
Sieve,970000,171640,0.24974584579467773
Sieve,980000,173345,0.2624819278717041
Sieve,990000,175063,0.2590920925140381
