Function Name,n,# of primes,Time
Sieve,0,0,2.5987625122070312e-05
Sieve,1,0,6.9141387939453125e-06
Sieve,2,1,2.5987625122070312e-05
Sieve,3,2,6.9141387939453125e-06
Sieve,4,2,7.152557373046875e-06
Sieve,5,3,6.198883056640625e-06
Sieve,6,3,7.152557373046875e-06
Sieve,7,4,6.198883056640625e-06
Sieve,8,4,6.198883056640625e-06
Sieve,9,4,6.9141387939453125e-06
Sieve,10,4,1.1682510375976562e-05
Sieve,11,5,7.867813110351562e-06
Sieve,12,5,8.106231689453125e-06
Sieve,13,6,6.9141387939453125e-06
Sieve,14,6,7.867813110351562e-06
Sieve,15,6,6.9141387939453125e-06
Sieve,16,6,8.344650268554688e-06
Sieve,17,7,7.152557373046875e-06
Sieve,18,7,1.2159347534179688e-05
Sieve,19,8,9.059906005859375e-06
Sieve,20,8,7.867813110351562e-06
Sieve,21,8,8.344650268554688e-06
Sieve,22,8,7.867813110351562e-06
Sieve,23,9,9.059906005859375e-06
Sieve,24,9,8.821487426757812e-06
Sieve,25,9,8.821487426757812e-06
Sieve,26,9,1.4066696166992188e-05
Sieve,27,9,1.0013580322265625e-05
Sieve,28,9,1.0013580322265625e-05
Sieve,29,10,1.0013580322265625e-05
Sieve,30,10,1.0013580322265625e-05
Sieve,31,11,1.0013580322265625e-05
Sieve,32,11,1.0013580322265625e-05
Sieve,33,11,1.0967254638671875e-05
Sieve,34,11,1.4066696166992188e-05
Sieve,35,11,1.4781951904296875e-05
Sieve,36,11,1.0967254638671875e-05
Sieve,37,12,1.0013580322265625e-05
Sieve,38,12,1.0967254638671875e-05
Sieve,39,12,1.0967254638671875e-05
Sieve,40,12,1.0967254638671875e-05
Sieve,41,13,1.0967254638671875e-05
Sieve,42,13,1.4781951904296875e-05
Sieve,43,14,1.1682510375976562e-05
Sieve,44,14,1.0967254638671875e-05
Sieve,45,14,1.5735626220703125e-05
Sieve,46,14,1.1920928955078125e-05
Sieve,47,15,1.2159347534179688e-05
Sieve,48,15,1.0967254638671875e-05
Sieve,49,16,1.2159347534179688e-05
Sieve,50,16,1.5735626220703125e-05
Sieve,51,16,1.3113021850585938e-05
Sieve,52,16,1.1920928955078125e-05
Sieve,53,17,1.3113021850585938e-05
Sieve,54,17,1.3113021850585938e-05
Sieve,55,17,1.2874603271484375e-05
Sieve,56,17,1.3113021850585938e-05
Sieve,57,17,1.1920928955078125e-05
Sieve,58,17,1.6927719116210938e-05
Sieve,59,18,1.3828277587890625e-05
Sieve,60,18,1.3113021850585938e-05
Sieve,61,19,1.71661376953125e-05
Sieve,62,19,1.4066696166992188e-05
Sieve,63,19,1.3113021850585938e-05
Sieve,64,19,1.4066696166992188e-05
Sieve,65,19,1.4066696166992188e-05
Sieve,66,19,1.7881393432617188e-05
Sieve,67,20,1.8835067749023438e-05
Sieve,68,20,1.5020370483398438e-05
Sieve,69,20,1.4781951904296875e-05
Sieve,70,20,1.3828277587890625e-05
Sieve,71,21,1.4066696166992188e-05
Sieve,72,21,1.8358230590820312e-05
Sieve,73,22,1.52587890625e-05
Sieve,74,22,1.8835067749023438e-05
Sieve,75,22,1.4781951904296875e-05
Sieve,76,22,1.5974044799804688e-05
Sieve,77,23,1.9073486328125e-05
Sieve,78,23,1.5974044799804688e-05
Sieve,79,24,1.5020370483398438e-05
Sieve,80,24,1.5020370483398438e-05
Sieve,81,24,1.621246337890625e-05
Sieve,82,24,2.0265579223632812e-05
Sieve,83,25,1.6927719116210938e-05
Sieve,84,25,2.002716064453125e-05
